transect_id,presence,n_frogs,pct_vegetation,pct_gravel,pct_rock,pct_soil,notes
IM2,0,0,3,3,15,79,
IM2,0,0,0,2,25,73,
IM2,0,0,1,5,40,54,
IM2,0,0,5,15,50,30,
IM2,0,0,10,2,40,48,
IM2,0,0,5,5,40,50,
IM2,0,0,30,5,40,25,
IM2,0,0,65,5,25,5,
IM2,0,0,50,10,30,10,
IM2,0,0,40,10,45,5,
IM6,0,0,15,70,0,15,
IM6,0,0,0,85,0,15,
IM6,0,0,0,90,0,10,
IM6,0,0,0,90,0,10,
IM6,0,0,0,85,0,15,
IM6,0,0,0,5,5,90,muy pisoteado
IM6,0,0,2,0,15,83,
IM6,0,0,10,0,20,70,
IM6,0,0,10,10,50,30,
IM6,0,0,50,0,15,35,
FI6,0,0,0,80,20,0,húmedas todas
FI6,0,0,0,25,70,5,húmedas todas
FI6,0,0,0,40,30,30,toodo seco
FI6,0,0,0,20,40,40,todo seco
FI6,0,0,10,30,20,40,todo seco
FI6,0,0,20,30,20,30,todo seco
FI6,0,0,25,20,5,50,todo seco
FI6,0,0,60,10,30,0,todo seco
FI6,0,0,45,30,10,15,seco en todas
FI6,0,0,20,50,30,0,todo seco
FI62,0,0,0,30,70,0,humedo
FI62,1,2,0,70,30,0,"2 en una roca chiquita, todas humedas"
FI62,0,0,0,20,75,5,humedas todas
FI62,0,0,0,20,50,30,seco
FI62,0,0,0,20,20,60,seco
FI62,0,0,30,0,50,20,seco
FI62,0,0,40,0,40,20,seco
FI62,0,0,20,10,70,0,seco
FI62,0,0,40,0,60,0,seco
FI62,0,0,10,30,60,0,seco
NI2,0,0,0,20,0,80,
NI2,0,0,0,30,0,70,
NI2,0,0,0,30,0,70,
NI2,0,0,5,25,0,70,
NI2,1,1,90,10,0,0,
NI2,0,0,100,0,0,0,
NI2,0,0,100,0,0,0,
NI2,0,0,95,5,0,0,
NI2,0,0,70,30,0,0,
NI2,0,0,70,30,0,0,
NI6,0,0,0,100,0,0,
NI6,0,0,0,50,0,50,
NI6,0,0,0,50,0,50,
NI6,0,0,20,20,0,60,
NI6,0,0,34,33,0,33,1 grillo en una chica
NI6,0,0,50,50,0,0,
NI6,0,0,100,0,0,0,
NI6,0,0,100,0,0,0,
NI6,0,0,100,0,0,0,
NI6,0,0,100,0,0,0,Muy alta la vegetación
CI6,0,0,30,70,0,0,
CI6,0,0,0,15,5,80,
CI6,0,0,0,5,5,90,sólo escarabajos
CI6,0,0,5,5,5,85,"sólo escarabajo, húmedo debajo de las rocas"
CI6,0,0,10,5,10,75,
CI6,0,0,5,0,0,95,
CI6,0,0,10,10,0,80,
CI6,0,0,20,15,15,50,
CI6,0,0,45,10,5,40,
CI6,0,0,60,10,0,30,
CI2,0,0,15,70,0,15,
CI2,0,0,0,90,0,10,
CI2,0,0,10,50,25,15,
CI2,0,0,5,95,0,0,
CI2,0,0,5,50,0,45,
CI2,0,0,10,50,0,40,
CI2,0,0,20,50,0,30,
CI2,0,0,40,35,5,20,
CI2,0,0,50,15,10,25,
CI2,0,0,70,0,5,25,
